Incident Title,Severity,Incident Date,Location,Reported By,Incident Type,Incident Category,Brief of Incident,Action Taken,Incident Status,Closed On
Incident Test,Critical,07/06/2025 01:00,Zone 3,Team A,System,Traffic,System Slowness occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,08/06/2025 01:00
System Slowness,Low,04/06/2025 11:00,Zone 3,Team A,Property,Sabotage,Network Outage occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,11/06/2025 11:00
System Slowness,Medium,11/03/2025 04:00,Zone 4,VELMURUGAN Sri,System,Traffic,Incident Test occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,14/03/2025 04:00
Email Delay,Medium,27/05/2025 20:00,Zone 2,Monitoring Bot,System,Traffic,High Traffic occurred in Zone 4.,Issue investigated. Status: Closed.,Open,
DB Failure,Critical,05/06/2025 11:00,Zone 1,Admin,System,Sabotage,High alert occurred in Zone 1.,Issue investigated. Status: Closed.,Open,13/06/2025 11:00
Test,Medium,22/03/2025 19:00,Zone 5,Operator 1,People,Performance,High alert occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,29/03/2025 19:00
High Traffic,Medium,30/04/2025 00:00,Zone 4,Admin,Network,Sabotage,Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,
High Traffic,Medium,13/09/2025 02:00,Zone 5,Monitoring Bot,Network,Performance,Incident Test occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,
Test,Medium,22/07/2025 23:00,Zone 4,Team A,Network,Traffic,Login Issue occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,23/07/2025 23:00
System Slowness,High,31/10/2025 13:00,Zone 1,Admin,System,Recovery,Email Delay occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,05/11/2025 13:00
Login Issue,Critical,22/10/2025 12:00,Zone 3,Monitoring Bot,Network,Performance,High Traffic occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,27/10/2025 12:00
System Slowness,High,28/07/2025 07:00,Zone 3,Operator 1,System,Sabotage,Incident Test occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
System Slowness,Medium,07/06/2025 06:00,Zone 5,Admin,Property,Performance,System Slowness occurred in Zone 4.,Issue investigated. Status: Closed.,Open,08/06/2025 06:00
T2,Medium,31/03/2025 00:00,Zone 2,VELMURUGAN Sri,People,Performance,High Traffic occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,04/04/2025 00:00
Test,Low,28/06/2025 04:00,Zone 3,VELMURUGAN Sri,People,Traffic,High alert occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,
System Slowness,High,28/06/2025 19:00,Zone 1,Monitoring Bot,System,Recovery,T2 occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
System Slowness,Medium,10/06/2025 01:00,Zone 3,Team A,Network,Sabotage,Test occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,
High Traffic,High,15/04/2025 04:00,Zone 2,Operator 1,Network,Traffic,DB Failure occurred in Zone 2.,Issue investigated. Status: Open.,Closed,21/04/2025 04:00
High alert,Low,15/01/2025 16:00,Zone 5,Monitoring Bot,Network,Traffic,Incident Test occurred in Zone 1.,Issue investigated. Status: Open.,Open,
System Slowness,Low,08/05/2025 21:00,Zone 3,Operator 1,People,Recovery,System Slowness occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,
Network Outage,Medium,21/05/2025 19:00,Zone 3,Operator 1,Network,Recovery,DB Failure occurred in Zone 4.,Issue investigated. Status: Open.,Open,21/05/2025 19:00
Incident Test,Low,02/06/2025 21:00,Zone 5,VELMURUGAN Sri,Property,Recovery,T2 occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,05/06/2025 21:00
Login Issue,High,07/02/2025 06:00,Zone 1,VELMURUGAN Sri,Network,Performance,Incident Test occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,14/02/2025 06:00
Test,Critical,03/02/2025 16:00,Zone 2,Team A,Network,Traffic,Login Issue occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,
Network Outage,Critical,25/03/2025 09:00,Zone 4,Monitoring Bot,People,Sabotage,High alert occurred in Zone 1.,Issue investigated. Status: In Progress.,Closed,
Incident Test,Critical,05/03/2025 06:00,Zone 5,VELMURUGAN Sri,People,Failure,T2 occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,06/03/2025 06:00
Network Outage,Critical,09/10/2025 02:00,Zone 5,VELMURUGAN Sri,System,Performance,DB Failure occurred in Zone 5.,Issue investigated. Status: Closed.,Open,
High alert,Low,23/08/2025 15:00,Zone 3,Monitoring Bot,People,Recovery,High Traffic occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,
DB Failure,Critical,18/08/2025 03:00,Zone 3,Monitoring Bot,System,Failure,T2 occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,19/08/2025 03:00
Test,High,19/08/2025 00:00,Zone 2,VELMURUGAN Sri,Property,Traffic,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,
System Slowness,High,12/05/2025 13:00,Zone 3,Operator 1,Property,Performance,Incident Test occurred in Zone 3.,Issue investigated. Status: Closed.,Open,19/05/2025 13:00
T2,Medium,04/07/2025 18:00,Zone 4,Team A,People,Recovery,Network Outage occurred in Zone 2.,Issue investigated. Status: Open.,Open,11/07/2025 18:00
DB Failure,Medium,21/10/2025 01:00,Zone 1,Team A,Property,Failure,DB Failure occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,
T2,High,25/05/2025 18:00,Zone 5,VELMURUGAN Sri,People,Performance,Login Issue occurred in Zone 4.,Issue investigated. Status: Closed.,Open,25/05/2025 18:00
Email Delay,Low,02/10/2025 18:00,Zone 1,Admin,Network,Traffic,Email Delay occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,09/10/2025 18:00
System Slowness,Low,21/03/2025 18:00,Zone 4,Monitoring Bot,Network,Sabotage,Email Delay occurred in Zone 1.,Issue investigated. Status: Open.,Open,27/03/2025 18:00
DB Failure,High,12/03/2025 20:00,Zone 5,VELMURUGAN Sri,System,Traffic,High alert occurred in Zone 1.,Issue investigated. Status: Open.,Closed,19/03/2025 20:00
T2,Medium,06/02/2025 07:00,Zone 1,VELMURUGAN Sri,Property,Recovery,Login Issue occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,
Test,High,15/03/2025 23:00,Zone 5,Operator 1,System,Recovery,Test occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
Email Delay,Low,22/05/2025 17:00,Zone 1,Monitoring Bot,People,Traffic,High Traffic occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
T2,Medium,14/11/2025 11:00,Zone 3,Operator 1,System,Traffic,Email Delay occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Email Delay,High,20/06/2025 15:00,Zone 2,Admin,Network,Performance,Incident Test occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,27/06/2025 15:00
Email Delay,Low,12/02/2025 16:00,Zone 5,Monitoring Bot,Network,Performance,Login Issue occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,
Login Issue,Low,19/06/2025 11:00,Zone 1,Admin,Network,Sabotage,Login Issue occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
Network Outage,Medium,23/02/2025 15:00,Zone 4,VELMURUGAN Sri,People,Traffic,Incident Test occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,28/02/2025 15:00
Email Delay,Low,08/10/2025 22:00,Zone 3,Monitoring Bot,People,Recovery,Login Issue occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,12/10/2025 22:00
Network Outage,Low,18/08/2025 18:00,Zone 3,VELMURUGAN Sri,People,Sabotage,Test occurred in Zone 5.,Issue investigated. Status: In Progress.,Open,
T2,Medium,23/04/2025 20:00,Zone 2,Admin,Network,Sabotage,Login Issue occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,28/04/2025 20:00
System Slowness,High,06/09/2025 10:00,Zone 5,Team A,System,Traffic,Network Outage occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Email Delay,Medium,27/10/2025 02:00,Zone 3,Admin,Property,Recovery,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Login Issue,Low,17/08/2025 11:00,Zone 4,VELMURUGAN Sri,Network,Recovery,High Traffic occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,
DB Failure,High,09/08/2025 23:00,Zone 2,VELMURUGAN Sri,System,Failure,Incident Test occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,18/08/2025 23:00
Login Issue,Low,04/10/2025 17:00,Zone 4,VELMURUGAN Sri,System,Failure,T2 occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,05/10/2025 17:00
T2,High,03/05/2025 04:00,Zone 3,Team A,Network,Performance,Test occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,10/05/2025 04:00
Incident Test,High,26/10/2025 10:00,Zone 4,Operator 1,System,Sabotage,DB Failure occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,
T2,Low,21/08/2025 23:00,Zone 3,Operator 1,Property,Performance,Login Issue occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,27/08/2025 23:00
Email Delay,Low,23/10/2025 20:00,Zone 3,Team A,Property,Traffic,Incident Test occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
DB Failure,Critical,23/11/2025 00:00,Zone 2,Team A,People,Recovery,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,Open,30/11/2025 00:00
DB Failure,Low,26/08/2025 04:00,Zone 5,Operator 1,Property,Recovery,DB Failure occurred in Zone 2.,Issue investigated. Status: Closed.,Open,
Incident Test,Low,19/06/2025 03:00,Zone 3,Monitoring Bot,System,Failure,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Open,29/06/2025 03:00
High alert,Critical,15/02/2025 07:00,Zone 2,Operator 1,Network,Recovery,System Slowness occurred in Zone 3.,Issue investigated. Status: Closed.,Open,
DB Failure,Critical,06/04/2025 05:00,Zone 1,Admin,People,Recovery,T2 occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,06/04/2025 05:00
Email Delay,High,15/09/2025 02:00,Zone 5,Team A,Network,Failure,DB Failure occurred in Zone 3.,Issue investigated. Status: Closed.,Open,22/09/2025 02:00
High Traffic,Critical,08/07/2025 12:00,Zone 5,Admin,Network,Performance,High alert occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,08/07/2025 12:00
High Traffic,High,07/06/2025 02:00,Zone 4,Admin,People,Recovery,Email Delay occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,
Login Issue,High,02/10/2025 17:00,Zone 2,Admin,Property,Failure,Incident Test occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,10/10/2025 17:00
Login Issue,Medium,28/07/2025 04:00,Zone 5,Team A,Property,Traffic,System Slowness occurred in Zone 5.,Issue investigated. Status: Open.,Open,28/07/2025 04:00
High alert,Medium,20/08/2025 21:00,Zone 4,Operator 1,System,Traffic,Incident Test occurred in Zone 3.,Issue investigated. Status: Closed.,Open,
System Slowness,Low,05/03/2025 01:00,Zone 3,Monitoring Bot,System,Sabotage,Incident Test occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
System Slowness,Critical,12/01/2025 06:00,Zone 1,VELMURUGAN Sri,Property,Performance,High Traffic occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,19/01/2025 06:00
Test,Medium,11/09/2025 08:00,Zone 4,Team A,Property,Recovery,DB Failure occurred in Zone 3.,Issue investigated. Status: Open.,Open,11/09/2025 08:00
System Slowness,Low,02/09/2025 18:00,Zone 2,Monitoring Bot,People,Traffic,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Closed,04/09/2025 18:00
High Traffic,Low,25/11/2025 02:00,Zone 4,Admin,People,Performance,High Traffic occurred in Zone 2.,Issue investigated. Status: Closed.,Open,
Login Issue,Medium,26/04/2025 22:00,Zone 4,Monitoring Bot,System,Traffic,DB Failure occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,27/04/2025 22:00
High Traffic,Critical,16/04/2025 19:00,Zone 4,Team A,Property,Recovery,System Slowness occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,
Email Delay,Medium,08/11/2025 21:00,Zone 4,Admin,System,Performance,Test occurred in Zone 4.,Issue investigated. Status: Open.,Open,
DB Failure,Low,13/05/2025 17:00,Zone 2,Monitoring Bot,People,Failure,DB Failure occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,16/05/2025 17:00
System Slowness,Low,05/10/2025 18:00,Zone 4,Team A,Network,Recovery,Network Outage occurred in Zone 5.,Issue investigated. Status: Closed.,In Progress,
Test,High,08/02/2025 05:00,Zone 4,Admin,Network,Sabotage,T2 occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,14/02/2025 05:00
High alert,Low,03/11/2025 10:00,Zone 3,Monitoring Bot,System,Traffic,Email Delay occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,09/11/2025 10:00
Email Delay,Medium,14/10/2025 01:00,Zone 5,VELMURUGAN Sri,Property,Performance,Test occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
High alert,High,06/03/2025 23:00,Zone 3,Operator 1,Property,Failure,Login Issue occurred in Zone 2.,Issue investigated. Status: Open.,Open,
Network Outage,Low,01/09/2025 05:00,Zone 5,Monitoring Bot,People,Failure,System Slowness occurred in Zone 3.,Issue investigated. Status: In Progress.,In Progress,
Incident Test,Medium,14/02/2025 08:00,Zone 2,Operator 1,Property,Performance,System Slowness occurred in Zone 1.,Issue investigated. Status: Open.,Closed,17/02/2025 08:00
System Slowness,Low,24/05/2025 05:00,Zone 4,Team A,People,Traffic,System Slowness occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,25/05/2025 05:00
DB Failure,Critical,05/04/2025 02:00,Zone 3,Team A,Network,Traffic,Email Delay occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,10/04/2025 02:00
High alert,Low,03/07/2025 14:00,Zone 3,Monitoring Bot,System,Recovery,T2 occurred in Zone 4.,Issue investigated. Status: Open.,Closed,13/07/2025 14:00
DB Failure,Medium,10/07/2025 05:00,Zone 3,Monitoring Bot,Network,Failure,Login Issue occurred in Zone 2.,Issue investigated. Status: In Progress.,In Progress,
Network Outage,High,07/06/2025 05:00,Zone 5,Team A,Property,Performance,T2 occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,
Incident Test,Critical,08/03/2025 16:00,Zone 1,Team A,People,Recovery,Email Delay occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,14/03/2025 16:00
DB Failure,High,23/07/2025 04:00,Zone 2,Monitoring Bot,Property,Sabotage,Login Issue occurred in Zone 4.,Issue investigated. Status: Closed.,In Progress,
Email Delay,Medium,17/06/2025 14:00,Zone 4,VELMURUGAN Sri,Network,Failure,Network Outage occurred in Zone 5.,Issue investigated. Status: Open.,Closed,17/06/2025 14:00
Network Outage,Medium,03/01/2025 02:00,Zone 4,VELMURUGAN Sri,Network,Traffic,Incident Test occurred in Zone 5.,Issue investigated. Status: Open.,In Progress,06/01/2025 02:00
DB Failure,High,31/10/2025 20:00,Zone 1,Team A,People,Performance,High Traffic occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,
Email Delay,High,17/05/2025 21:00,Zone 4,VELMURUGAN Sri,System,Traffic,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,19/05/2025 21:00
System Slowness,Low,02/07/2025 01:00,Zone 3,VELMURUGAN Sri,System,Failure,System Slowness occurred in Zone 3.,Issue investigated. Status: Open.,Closed,05/07/2025 01:00
Network Outage,High,02/11/2025 10:00,Zone 5,Monitoring Bot,Property,Performance,Network Outage occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,02/11/2025 10:00
System Slowness,Critical,04/02/2025 05:00,Zone 3,Admin,System,Recovery,T2 occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,
Test,Critical,04/04/2025 23:00,Zone 2,VELMURUGAN Sri,Property,Failure,Network Outage occurred in Zone 1.,Issue investigated. Status: In Progress.,Open,09/04/2025 23:00
Test,Medium,29/08/2025 18:00,Zone 3,Monitoring Bot,System,Sabotage,Login Issue occurred in Zone 1.,Issue investigated. Status: Closed.,Closed,
High alert,Critical,20/08/2025 14:00,Zone 3,Monitoring Bot,Property,Traffic,High alert occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
High alert,High,06/10/2025 17:00,Zone 4,Monitoring Bot,Network,Traffic,High alert occurred in Zone 2.,Issue investigated. Status: Open.,Closed,
T2,High,07/03/2025 23:00,Zone 5,Team A,Network,Performance,DB Failure occurred in Zone 5.,Issue investigated. Status: Open.,Closed,13/03/2025 23:00
Login Issue,Low,29/08/2025 02:00,Zone 2,Admin,Property,Performance,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,Open,
System Slowness,High,16/06/2025 21:00,Zone 4,Admin,People,Failure,Test occurred in Zone 2.,Issue investigated. Status: Closed.,Open,20/06/2025 21:00
Test,Low,05/01/2025 21:00,Zone 4,VELMURUGAN Sri,Network,Sabotage,Test occurred in Zone 3.,Issue investigated. Status: In Progress.,Closed,
System Slowness,Medium,06/07/2025 19:00,Zone 2,Operator 1,System,Failure,Test occurred in Zone 5.,Issue investigated. Status: Open.,Open,
Login Issue,Critical,02/10/2025 10:00,Zone 1,Operator 1,People,Sabotage,T2 occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,02/10/2025 10:00
Incident Test,Medium,30/05/2025 00:00,Zone 5,VELMURUGAN Sri,Network,Sabotage,System Slowness occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,03/06/2025 00:00
Incident Test,Critical,17/01/2025 01:00,Zone 5,Operator 1,Property,Failure,Network Outage occurred in Zone 5.,Issue investigated. Status: Open.,Open,
Test,High,06/10/2025 06:00,Zone 4,Team A,Network,Sabotage,Login Issue occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
System Slowness,Critical,03/08/2025 23:00,Zone 3,Team A,Property,Sabotage,T2 occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,05/08/2025 23:00
System Slowness,High,19/10/2025 20:00,Zone 1,Operator 1,System,Recovery,Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,20/10/2025 20:00
High alert,High,26/03/2025 13:00,Zone 4,Admin,Property,Performance,Network Outage occurred in Zone 4.,Issue investigated. Status: Closed.,Open,28/03/2025 13:00
Incident Test,High,04/01/2025 12:00,Zone 4,Admin,System,Performance,T2 occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Incident Test,Critical,07/11/2025 07:00,Zone 3,Monitoring Bot,Network,Recovery,T2 occurred in Zone 2.,Issue investigated. Status: Closed.,Open,
System Slowness,Medium,26/07/2025 20:00,Zone 3,Admin,Network,Recovery,Login Issue occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
High Traffic,Low,18/11/2025 07:00,Zone 3,Operator 1,Network,Failure,Incident Test occurred in Zone 4.,Issue investigated. Status: Closed.,Closed,
Network Outage,High,29/01/2025 22:00,Zone 3,Monitoring Bot,Property,Failure,DB Failure occurred in Zone 1.,Issue investigated. Status: Open.,In Progress,08/02/2025 22:00
High Traffic,Critical,13/06/2025 07:00,Zone 5,Monitoring Bot,Network,Sabotage,DB Failure occurred in Zone 3.,Issue investigated. Status: In Progress.,Open,18/06/2025 07:00
High alert,Critical,16/04/2025 22:00,Zone 2,Operator 1,Property,Failure,Network Outage occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,24/04/2025 22:00
High Traffic,Low,21/03/2025 21:00,Zone 1,Monitoring Bot,Property,Sabotage,High Traffic occurred in Zone 3.,Issue investigated. Status: Open.,Open,30/03/2025 21:00
Network Outage,Low,10/04/2025 09:00,Zone 5,Admin,System,Recovery,High Traffic occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
Login Issue,High,15/04/2025 03:00,Zone 5,Operator 1,Property,Recovery,Incident Test occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,18/04/2025 03:00
Login Issue,Medium,20/05/2025 19:00,Zone 3,VELMURUGAN Sri,System,Recovery,Email Delay occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,21/05/2025 19:00
Email Delay,Low,16/02/2025 14:00,Zone 3,Admin,Property,Recovery,Incident Test occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,
High Traffic,Medium,26/11/2025 16:00,Zone 3,Operator 1,Network,Sabotage,High Traffic occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
T2,Critical,02/02/2025 06:00,Zone 1,Operator 1,Property,Traffic,Test occurred in Zone 1.,Issue investigated. Status: Open.,Open,04/02/2025 06:00
Network Outage,High,17/07/2025 10:00,Zone 1,Operator 1,Network,Failure,System Slowness occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,18/07/2025 10:00
Network Outage,Medium,07/07/2025 06:00,Zone 2,VELMURUGAN Sri,Network,Recovery,Network Outage occurred in Zone 3.,Issue investigated. Status: Open.,In Progress,08/07/2025 06:00
Network Outage,Medium,12/02/2025 11:00,Zone 4,VELMURUGAN Sri,Property,Failure,High alert occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,12/02/2025 11:00
DB Failure,High,20/10/2025 14:00,Zone 2,Team A,Property,Failure,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,Closed,21/10/2025 14:00
T2,Critical,07/03/2025 11:00,Zone 1,Admin,Property,Recovery,T2 occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,13/03/2025 11:00
Incident Test,Medium,19/09/2025 07:00,Zone 5,Admin,People,Failure,Incident Test occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,26/09/2025 07:00
Email Delay,Critical,18/01/2025 10:00,Zone 5,Operator 1,System,Performance,DB Failure occurred in Zone 4.,Issue investigated. Status: Closed.,Open,
High Traffic,Critical,13/11/2025 19:00,Zone 4,Operator 1,People,Sabotage,Email Delay occurred in Zone 5.,Issue investigated. Status: Open.,Closed,
System Slowness,High,14/01/2025 09:00,Zone 3,Monitoring Bot,People,Sabotage,Network Outage occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,
System Slowness,Critical,18/06/2025 11:00,Zone 4,Operator 1,System,Performance,Network Outage occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,
High alert,Medium,10/07/2025 11:00,Zone 3,VELMURUGAN Sri,Property,Failure,High alert occurred in Zone 1.,Issue investigated. Status: Open.,Open,
Email Delay,Critical,28/06/2025 20:00,Zone 4,Team A,System,Traffic,High Traffic occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,
System Slowness,Critical,05/10/2025 11:00,Zone 1,Operator 1,Network,Sabotage,Email Delay occurred in Zone 2.,Issue investigated. Status: Closed.,Closed,
Login Issue,Medium,06/09/2025 20:00,Zone 5,Monitoring Bot,Network,Performance,High alert occurred in Zone 1.,Issue investigated. Status: Open.,In Progress,12/09/2025 20:00
T2,Medium,29/07/2025 00:00,Zone 3,Monitoring Bot,System,Traffic,Test occurred in Zone 5.,Issue investigated. Status: In Progress.,In Progress,
Network Outage,Medium,05/11/2025 07:00,Zone 2,Admin,Property,Sabotage,System Slowness occurred in Zone 1.,Issue investigated. Status: Open.,Open,
System Slowness,Critical,23/05/2025 17:00,Zone 3,Monitoring Bot,Network,Performance,High alert occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,26/05/2025 17:00
Network Outage,Low,01/10/2025 03:00,Zone 4,VELMURUGAN Sri,System,Traffic,DB Failure occurred in Zone 3.,Issue investigated. Status: Open.,Closed,03/10/2025 03:00
Email Delay,Medium,29/09/2025 20:00,Zone 4,VELMURUGAN Sri,Network,Sabotage,Email Delay occurred in Zone 4.,Issue investigated. Status: Closed.,Open,08/10/2025 20:00
System Slowness,Low,14/11/2025 02:00,Zone 5,Monitoring Bot,Property,Recovery,Login Issue occurred in Zone 1.,Issue investigated. Status: Closed.,Open,19/11/2025 02:00
T2,High,27/05/2025 12:00,Zone 3,Team A,People,Recovery,Incident Test occurred in Zone 2.,Issue investigated. Status: Closed.,In Progress,
High Traffic,Low,24/03/2025 01:00,Zone 4,VELMURUGAN Sri,Network,Performance,Login Issue occurred in Zone 1.,Issue investigated. Status: Open.,Open,02/04/2025 01:00
Incident Test,High,12/08/2025 16:00,Zone 2,Admin,Property,Performance,Incident Test occurred in Zone 4.,Issue investigated. Status: In Progress.,Open,16/08/2025 16:00
Incident Test,Medium,21/05/2025 16:00,Zone 4,VELMURUGAN Sri,People,Recovery,Test occurred in Zone 4.,Issue investigated. Status: In Progress.,In Progress,27/05/2025 16:00
Network Outage,Low,21/05/2025 23:00,Zone 1,Operator 1,Property,Traffic,Login Issue occurred in Zone 1.,Issue investigated. Status: Open.,Open,26/05/2025 23:00
DB Failure,Medium,27/04/2025 20:00,Zone 1,Monitoring Bot,People,Recovery,Test occurred in Zone 4.,Issue investigated. Status: Open.,Closed,06/05/2025 20:00
High Traffic,Low,10/11/2025 03:00,Zone 2,Monitoring Bot,Property,Traffic,High alert occurred in Zone 3.,Issue investigated. Status: Closed.,In Progress,19/11/2025 03:00
Email Delay,Medium,08/11/2025 10:00,Zone 1,Operator 1,People,Sabotage,Network Outage occurred in Zone 4.,Issue investigated. Status: In Progress.,Closed,
T2,Critical,30/05/2025 05:00,Zone 4,Operator 1,Network,Recovery,System Slowness occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
High Traffic,Medium,31/01/2025 13:00,Zone 4,Monitoring Bot,System,Recovery,High alert occurred in Zone 1.,Issue investigated. Status: Closed.,In Progress,31/01/2025 13:00
Login Issue,Low,05/07/2025 01:00,Zone 1,VELMURUGAN Sri,Property,Sabotage,System Slowness occurred in Zone 5.,Issue investigated. Status: In Progress.,Closed,13/07/2025 01:00
Test,Medium,07/06/2025 14:00,Zone 5,VELMURUGAN Sri,System,Failure,High alert occurred in Zone 4.,Issue investigated. Status: Open.,In Progress,16/06/2025 14:00
Incident Test,Critical,06/10/2025 18:00,Zone 4,Monitoring Bot,Network,Sabotage,Email Delay occurred in Zone 5.,Issue investigated. Status: Closed.,Open,
High alert,Medium,23/10/2025 18:00,Zone 2,Admin,People,Performance,Network Outage occurred in Zone 3.,Issue investigated. Status: Open.,Closed,
Login Issue,High,02/09/2025 08:00,Zone 1,Team A,People,Failure,High Traffic occurred in Zone 2.,Issue investigated. Status: Open.,Closed,
Incident Test,Medium,29/10/2025 14:00,Zone 3,Admin,People,Performance,Incident Test occurred in Zone 5.,Issue investigated. Status: Closed.,Closed,31/10/2025 14:00
Login Issue,Critical,15/04/2025 06:00,Zone 3,Team A,System,Recovery,Login Issue occurred in Zone 1.,Issue investigated. Status: Closed.,Open,
Test,High,27/10/2025 17:00,Zone 4,VELMURUGAN Sri,Network,Traffic,High Traffic occurred in Zone 1.,Issue investigated. Status: Open.,Closed,
High alert,Critical,28/04/2025 15:00,Zone 4,Monitoring Bot,People,Traffic,Login Issue occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
System Slowness,Low,01/09/2025 01:00,Zone 4,VELMURUGAN Sri,System,Recovery,DB Failure occurred in Zone 2.,Issue investigated. Status: Open.,In Progress,10/09/2025 01:00
Email Delay,Medium,29/09/2025 14:00,Zone 5,Monitoring Bot,System,Performance,Test occurred in Zone 4.,Issue investigated. Status: Open.,Closed,
Test,High,15/08/2025 10:00,Zone 2,Admin,People,Performance,Login Issue occurred in Zone 1.,Issue investigated. Status: In Progress.,In Progress,
High Traffic,High,11/11/2025 23:00,Zone 2,VELMURUGAN Sri,Network,Traffic,Email Delay occurred in Zone 2.,Issue investigated. Status: In Progress.,Open,
High alert,Low,20/08/2025 15:00,Zone 2,Monitoring Bot,System,Performance,DB Failure occurred in Zone 2.,Issue investigated. Status: In Progress.,Closed,
